from,to,n_approaches_present,mean_share,std_share
UCEC,KIPAN,1,0.081,0.0
BRCA,LGG,1,0.078,0.0
LAML,SKCM,1,0.076,0.0
COAD,GBMLGG,1,0.076,0.0
OV,LGG,1,0.075,0.0
PCPG,LGG,1,0.075,0.0
LUSC,KIRC,1,0.073,0.0
HNSC,LGG,1,0.072,0.0
LUAD,LGG,1,0.071,0.0
THCA,KIRC,1,0.071,0.0
THCA,LGG,1,0.068,0.0
COAD,OV,1,0.067,0.0
OV,PRAD,1,0.067,0.0
BLCA,KIRC,1,0.067,0.0
KIPAN,GBMLGG,1,0.064,0.0
GBMLGG,KIRC,1,0.063,0.0
LIHC,LGG,1,0.063,0.0
PRAD,GBMLGG,1,0.06,0.0
THCA,SKCM,1,0.059,0.0
SKCM,THCA,1,0.058,0.0
STES,KIRC,1,0.058,0.0
ACC,SKCM,1,0.056,0.0
TGCT,SARC,1,0.056,0.0
ACC,BRCA,1,0.056,0.0
ACC,TGCT,1,0.056,0.0
THCA,GBMLGG,1,0.056,0.0
UCEC,KIRC,1,0.056,0.0
LUAD,SKCM,1,0.054,0.0
KIRC,GBMLGG,1,0.054,0.0
COAD,KIRC,1,0.054,0.0
SKCM,LGG,1,0.054,0.0
PCPG,SARC,1,0.054,0.0
DLBC,THCA,1,0.053,0.0
DLBC,KIRC,1,0.053,0.0
DLBC,LAML,1,0.053,0.0
DLBC,SARC,1,0.053,0.0
DLBC,TGCT,1,0.053,0.0
DLBC,BLCA,1,0.053,0.0
LGG,KIPAN,1,0.052,0.0
LUSC,CESC,1,0.051,0.0
LUSC,LIHC,1,0.051,0.0
UCEC,COAD,1,0.051,0.0
STES,LUAD,1,0.05,0.0
PAAD,LGG,1,0.05,0.0
PAAD,SARC,1,0.05,0.0
